timestamp;value
2025-09-01T10:00:00;4,932571952264669
2025-09-01T10:00:01;4,9447714978085395
2025-09-01T10:00:02;4.888
01/09/2025 10:00:03;4,9230018623498975
2025-09-01T10:00:04;4,858166618865602
2025-09-01T10:00:05;5,075262317944421
2025-09-01T10:00:06;4.856
2025-09-01T10:00:07;4,897182120113564
2025-09-01T10:00:08;4,975217284176855
2025-09-01T10:00:09;5,0178766437736
2025-09-01T10:00:10;4.936
2025-09-01T10:00:11;4.962
2025-09-01T10:00:12;5,023711140415904
2025-09-01T10:00:13;  4,977970386154623  
01/09/2025 10:00:14;4,989254381753979
2025-09-01T10:00:15;5,438330770003849
2025-09-01T10:00:16;5.006
2025-09-01T10:00:17;NA
2025-09-01T10:00:18;4,91899000068867
2025-09-01T10:00:19;4,972186066343713
2025-09-01T10:00:20;4,959220986907515
2025-09-01T10:00:21;4,9809318478716795
2025-09-01T10:00:22;4,872602606795935
2025-09-01T10:00:23;4,942836258367869
2025-09-01T10:00:24;NA
2025-09-01T10:00:25;4.884
2025-09-01T10:00:26;4,921512317837279
2025-09-01T10:00:27;4,929722063742647
2025-09-01T10:00:28;  4,962608590673107  
2025-09-01T10:00:29;4,9769597625430935
2025-09-01T10:00:30;4,981973384879519
2025-09-01T10:00:31;4,9748117818245685
2025-09-01T10:00:32;4,893600017968131
2025-09-01T10:00:33;4,99495994587586
2025-09-01T10:00:34;NA
2025-09-01T10:00:35;5.045
2025-09-01T10:00:36;4,984403392746898
2025-09-01T10:00:37;  4,96785721849432  
2025-09-01T10:00:38;4,975531555400125
2025-09-01T10:00:39;5,056412725308551
2025-09-01T10:00:40;NA
2025-09-01T10:00:41;5,041731627080761
2025-09-01T10:00:42;4.975
2025-09-01T10:00:43;5.128
2025-09-01T10:00:44;5.074
2025-09-01T10:00:45;4,89353128373413
2025-09-01T10:00:46;5.020
2025-09-01T10:00:47;NA
2025-09-01T10:00:48;5,037254085090485
2025-09-01T10:00:49;4,908620032651965
2025-09-01T10:00:50;4.954
2025-09-01T10:00:51;4,9604635001883075
2025-09-01T10:00:52;4.940
2025-09-01T10:00:53;4.910
2025-09-01T10:00:54;4.996
2025-09-01T10:00:55;  4,948797651019453  
01/09/2025 10:00:56;4.905
2025-09-01T10:00:57;4.891
2025-09-01T10:00:58;4.931
2025-09-01T10:00:59;4.931
2025-09-01T10:01:00;  4,85151854692952  
2025-09-01T10:01:01;4,916066078956954
2025-09-01T10:01:02;5,007441658630227
2025-09-01T10:01:03;4.899
2025-09-01T10:01:04;5,55168817374362
