timestamp,value
2025-09-01T10:00:00,4.933
2025-09-01T10:00:01,4.945
2025-09-01T10:00:02,4.888
2025-09-01T10:00:04,4.858
2025-09-01T10:00:05,5.075
2025-09-01T10:00:06,4.856
2025-09-01T10:00:07,4.897
2025-09-01T10:00:08,4.975
2025-09-01T10:00:09,5.018
2025-09-01T10:00:10,4.936
2025-09-01T10:00:11,4.962
2025-09-01T10:00:12,5.024
2025-09-01T10:00:13,4.978
2025-09-01T10:00:15,5.438
2025-09-01T10:00:16,5.006
2025-09-01T10:00:18,4.919
2025-09-01T10:00:19,4.972
2025-09-01T10:00:20,4.959
2025-09-01T10:00:21,4.981
2025-09-01T10:00:22,4.873
2025-09-01T10:00:23,4.943
2025-09-01T10:00:25,4.884
2025-09-01T10:00:26,4.922
2025-09-01T10:00:27,4.930
2025-09-01T10:00:28,4.963
2025-09-01T10:00:29,4.977
2025-09-01T10:00:30,4.982
2025-09-01T10:00:31,4.975
2025-09-01T10:00:32,4.894
2025-09-01T10:00:33,4.995
2025-09-01T10:00:35,5.045
2025-09-01T10:00:36,4.984
2025-09-01T10:00:37,4.968
2025-09-01T10:00:38,4.976
2025-09-01T10:00:39,5.056
2025-09-01T10:00:41,5.042
2025-09-01T10:00:42,4.975
2025-09-01T10:00:43,5.128
2025-09-01T10:00:44,5.074
2025-09-01T10:00:45,4.894
2025-09-01T10:00:46,5.020
2025-09-01T10:00:48,5.037
2025-09-01T10:00:49,4.909
2025-09-01T10:00:50,4.954
2025-09-01T10:00:51,4.960
2025-09-01T10:00:52,4.940
2025-09-01T10:00:53,4.910
2025-09-01T10:00:54,4.996
2025-09-01T10:00:55,4.949
2025-09-01T10:00:57,4.891
2025-09-01T10:00:58,4.931
2025-09-01T10:00:59,4.931
2025-09-01T10:01:00,4.852
2025-09-01T10:01:01,4.916
2025-09-01T10:01:02,5.007
2025-09-01T10:01:03,4.899
2025-09-01T10:01:04,5.552
2025-09-01T10:01:06,5.018
2025-09-01T10:01:07,5.017
2025-09-01T10:01:08,4.989
2025-09-01T10:01:09,4.965
2025-09-01T10:01:10,5.121
2025-09-01T10:01:12,4.889
2025-09-01T10:01:13,5.086
2025-09-01T10:01:14,5.009
2025-09-01T10:01:15,4.981
2025-09-01T10:01:16,4.944
2025-09-01T10:01:17,5.000
2025-09-01T10:01:18,5.069
2025-09-01T10:01:19,4.951
2025-09-01T10:01:20,5.008
2025-09-01T10:01:21,4.894
2025-09-01T10:01:22,4.930
2025-09-01T10:01:23,4.937
2025-09-01T10:01:24,5.011
2025-09-01T10:01:26,5.021
2025-09-01T10:01:27,4.957
2025-09-01T10:01:28,4.961
2025-09-01T10:01:29,4.991
2025-09-01T10:01:30,4.961
2025-09-01T10:01:31,4.932
2025-09-01T10:01:32,4.992
2025-09-01T10:01:34,4.891
2025-09-01T10:01:35,5.073
2025-09-01T10:01:36,4.954
2025-09-01T10:01:37,4.851
2025-09-01T10:01:39,5.000
2025-09-01T10:01:40,4.983
2025-09-01T10:01:41,5.041
2025-09-01T10:01:42,5.094
2025-09-01T10:01:43,4.966
2025-09-01T10:01:44,4.908
2025-09-01T10:01:46,4.964
2025-09-01T10:01:47,4.933
2025-09-01T10:01:48,5.078
2025-09-01T10:01:49,4.989
2025-09-01T10:01:50,4.955
2025-09-01T10:01:51,4.972
2025-09-01T10:01:52,4.954
2025-09-01T10:01:53,4.959
2025-09-01T10:01:54,4.947
2025-09-01T10:01:55,5.037
2025-09-01T10:01:56,4.918
2025-09-01T10:01:58,4.934
2025-09-01T10:01:59,5.068
2025-09-01T10:02:00,4.921
2025-09-01T10:02:01,4.989
2025-09-01T10:02:02,5.039
2025-09-01T10:02:03,5.047
2025-09-01T10:02:04,4.973
2025-09-01T10:02:05,5.033
2025-09-01T10:02:06,4.870
2025-09-01T10:02:07,5.580
2025-09-01T10:02:08,5.028
2025-09-01T10:02:09,4.970
2025-09-01T10:02:10,5.009
2025-09-01T10:02:11,4.978
2025-09-01T10:02:12,5.032
2025-09-01T10:02:13,4.982
2025-09-01T10:02:14,4.945
2025-09-01T10:02:15,4.907
2025-09-01T10:02:17,5.145
2025-09-01T10:02:18,5.001
2025-09-01T10:02:20,5.033
2025-09-01T10:02:21,4.978
2025-09-01T10:02:22,5.146
2025-09-01T10:02:23,4.863
2025-09-01T10:02:24,4.956
2025-09-01T10:02:25,5.056
2025-09-01T10:02:26,5.102
2025-09-01T10:02:27,5.012
2025-09-01T10:02:28,4.902
2025-09-01T10:02:29,5.032
2025-09-01T10:02:30,4.991
2025-09-01T10:02:31,4.880
2025-09-01T10:02:32,4.979
2025-09-01T10:02:33,5.413
2025-09-01T10:02:34,4.983
2025-09-01T10:02:35,4.995
2025-09-01T10:02:37,5.088
2025-09-01T10:02:38,5.068
2025-09-01T10:02:39,4.934
2025-09-01T10:02:40,5.029
2025-09-01T10:02:42,5.003
2025-09-01T10:02:43,4.970
2025-09-01T10:02:45,5.052
2025-09-01T10:02:46,5.102
2025-09-01T10:02:47,5.043
2025-09-01T10:02:48,4.961
2025-09-01T10:02:49,4.956
2025-09-01T10:02:50,5.102
2025-09-01T10:02:51,5.055
2025-09-01T10:02:52,5.128
2025-09-01T10:02:53,5.060
2025-09-01T10:02:55,5.018
2025-09-01T10:02:56,4.999
2025-09-01T10:02:57,5.091
2025-09-01T10:02:58,4.930
2025-09-01T10:03:00,5.002
2025-09-01T10:03:01,5.030
2025-09-01T10:03:02,5.145
2025-09-01T10:03:03,5.055
2025-09-01T10:03:05,5.057
2025-09-01T10:03:06,5.025
2025-09-01T10:03:07,5.012
2025-09-01T10:03:08,5.041
2025-09-01T10:03:09,5.087
2025-09-01T10:03:10,5.015
2025-09-01T10:03:11,5.051
2025-09-01T10:03:13,4.960
2025-09-01T10:03:14,5.085
2025-09-01T10:03:15,4.964
2025-09-01T10:03:16,5.020
2025-09-01T10:03:17,5.074
2025-09-01T10:03:18,5.136
2025-09-01T10:03:19,5.022
2025-09-01T10:03:20,5.046
2025-09-01T10:03:21,5.161
2025-09-01T10:03:22,5.016
2025-09-01T10:03:23,5.091
2025-09-01T10:03:24,5.094
2025-09-01T10:03:25,4.937
2025-09-01T10:03:26,4.974
2025-09-01T10:03:27,5.070
2025-09-01T10:03:28,5.118
2025-09-01T10:03:29,4.968
2025-09-01T10:03:31,5.086
2025-09-01T10:03:32,5.046
2025-09-01T10:03:33,5.060
2025-09-01T10:03:34,5.488
2025-09-01T10:03:35,5.043
2025-09-01T10:03:36,4.919
2025-09-01T10:03:37,5.023
2025-09-01T10:03:38,5.031
2025-09-01T10:03:39,4.999
2025-09-01T10:03:40,5.138
2025-09-01T10:03:41,5.002
2025-09-01T10:03:42,4.996
2025-09-01T10:03:43,5.066
2025-09-01T10:03:44,5.097
2025-09-01T10:03:45,5.073
2025-09-01T10:03:46,5.033
2025-09-01T10:03:47,5.113
2025-09-01T10:03:48,5.083
2025-09-01T10:03:49,5.078
2025-09-01T10:03:50,5.075
2025-09-01T10:03:51,4.993
2025-09-01T10:03:52,5.636
2025-09-01T10:03:53,5.097
2025-09-01T10:03:54,5.139
2025-09-01T10:03:55,5.073
2025-09-01T10:03:57,5.082
2025-09-01T10:03:58,4.946
2025-09-01T10:03:59,5.078
2025-09-01T10:04:00,5.010
2025-09-01T10:04:01,5.084
2025-09-01T10:04:02,5.032
2025-09-01T10:04:03,5.093
2025-09-01T10:04:04,5.074
2025-09-01T10:04:05,4.987
2025-09-01T10:04:06,4.949
2025-09-01T10:04:07,5.097
2025-09-01T10:04:08,5.065
2025-09-01T10:04:09,5.134
